"3 probability convergence, 0.6gain","3 probability convergence, 0.7gain","3 probability convergence, 0.8gain","9 probability convergence, 0.6gain","9 probability convergence, 0.7gain","9 probability convergence, 0.8gain","18 probability convergence, 0.6gain","18 probability convergence, 0.7gain","18 probability convergence, 0.8gain"
0.15384615384615385,0.19230769230769232,0.5192307692307693,0.75,0.8846153846153846,1.0,0.8076923076923077,1.0,1.0
0.11320754716981132,0.16981132075471697,0.33962264150943394,0.7358490566037735,0.8301886792452831,0.9622641509433962,0.8867924528301887,1.0,1.0
0.05555555555555555,0.12962962962962962,0.3888888888888889,0.6111111111111112,0.8888888888888888,0.9814814814814815,0.8518518518518519,0.9629629629629629,1.0
0.10909090909090909,0.23636363636363636,0.45454545454545453,0.6,0.8363636363636363,0.9818181818181818,0.7818181818181819,0.9818181818181818,0.9818181818181818
0.14285714285714285,0.21428571428571427,0.44642857142857145,0.5892857142857143,0.8571428571428571,0.9464285714285714,0.8035714285714286,1.0,1.0
0.07017543859649122,0.17543859649122806,0.45614035087719296,0.631578947368421,0.8771929824561403,0.9649122807017544,0.8771929824561403,0.9824561403508771,1.0
0.10344827586206896,0.27586206896551724,0.5172413793103449,0.5862068965517241,0.8620689655172413,1.0,0.9137931034482759,1.0,1.0
0.11864406779661017,0.3050847457627119,0.5084745762711864,0.5084745762711864,0.8305084745762712,0.9830508474576272,0.8813559322033898,0.9830508474576272,1.0
0.16666666666666666,0.2833333333333333,0.5833333333333334,0.6833333333333333,0.85,0.9833333333333333,0.9333333333333333,1.0,1.0
0.09836065573770492,0.32786885245901637,0.5409836065573771,0.5081967213114754,0.8688524590163934,0.9836065573770492,0.7704918032786885,0.9836065573770492,1.0
0.08064516129032258,0.20967741935483872,0.43548387096774194,0.6290322580645161,0.8548387096774194,0.9838709677419355,0.8225806451612904,0.9838709677419355,1.0
0.07936507936507936,0.25396825396825395,0.36507936507936506,0.6190476190476191,0.8412698412698413,0.9841269841269841,0.9047619047619048,1.0,1.0
0.046875,0.265625,0.3125,0.578125,0.890625,0.96875,0.8125,1.0,1.0
0.07692307692307693,0.3076923076923077,0.3384615384615385,0.6153846153846154,0.8615384615384616,0.9692307692307692,0.9230769230769231,1.0,1.0
0.06060606060606061,0.25757575757575757,0.4090909090909091,0.5757575757575758,0.9090909090909091,0.9848484848484849,0.803030303030303,0.9848484848484849,1.0
0.05970149253731343,0.22388059701492538,0.417910447761194,0.6119402985074627,0.8805970149253731,0.9850746268656716,0.8656716417910447,1.0,1.0
0.14705882352941177,0.35294117647058826,0.3382352941176471,0.6029411764705882,0.8823529411764706,0.9852941176470589,0.8382352941176471,1.0,1.0
0.057971014492753624,0.15942028985507245,0.4782608695652174,0.5217391304347826,0.855072463768116,0.9855072463768116,0.855072463768116,1.0,1.0
0.1,0.2571428571428571,0.4142857142857143,0.5714285714285714,0.9142857142857143,0.9857142857142858,0.8428571428571429,1.0,1.0
0.07042253521126761,0.2535211267605634,0.4084507042253521,0.6056338028169014,0.8732394366197183,0.9859154929577465,0.9014084507042254,1.0,1.0
0.125,0.20833333333333334,0.4722222222222222,0.5694444444444444,0.8888888888888888,1.0,0.8333333333333334,0.9861111111111112,1.0
0.0958904109589041,0.3698630136986301,0.4383561643835616,0.5616438356164384,0.8904109589041096,0.9452054794520548,0.863013698630137,0.9863013698630136,1.0
0.05405405405405406,0.17567567567567569,0.5540540540540541,0.581081081081081,0.8243243243243243,0.9864864864864865,0.8513513513513513,1.0,1.0
0.10666666666666667,0.18666666666666668,0.4,0.56,0.8666666666666667,1.0,0.88,0.9866666666666667,1.0
0.10526315789473684,0.3026315789473684,0.4605263157894737,0.5131578947368421,0.9078947368421053,0.9736842105263158,0.9210526315789473,0.9605263157894737,1.0
0.14285714285714285,0.2857142857142857,0.4155844155844156,0.6103896103896104,0.8311688311688312,0.987012987012987,0.7922077922077922,0.974025974025974,1.0
0.11538461538461539,0.28205128205128205,0.41025641025641024,0.5512820512820513,0.9102564102564102,0.9487179487179487,0.8589743589743589,0.9615384615384616,1.0
0.11392405063291139,0.27848101265822783,0.4936708860759494,0.45569620253164556,0.8607594936708861,0.9873417721518988,0.810126582278481,1.0,1.0
0.15,0.25,0.3625,0.45,0.9,1.0,0.9,1.0,1.0
0.1111111111111111,0.18518518518518517,0.4691358024691358,0.5061728395061729,0.8148148148148148,0.9876543209876543,0.8518518518518519,1.0,1.0
0.10975609756097561,0.21951219512195122,0.45121951219512196,0.5975609756097561,0.9146341463414634,0.9512195121951219,0.8536585365853658,0.9878048780487805,1.0
0.04819277108433735,0.20481927710843373,0.4819277108433735,0.5542168674698795,0.8313253012048193,0.963855421686747,0.8674698795180723,0.9759036144578314,1.0
0.09523809523809523,0.32142857142857145,0.4642857142857143,0.5238095238095238,0.9166666666666666,1.0,0.8690476190476191,1.0,1.0
0.07058823529411765,0.25882352941176473,0.43529411764705883,0.5294117647058824,0.8235294117647058,0.9764705882352941,0.7764705882352941,1.0,1.0
0.10465116279069768,0.1511627906976744,0.38372093023255816,0.5,0.872093023255814,0.9883720930232558,0.8023255813953488,0.9883720930232558,1.0
0.12643678160919541,0.27586206896551724,0.39080459770114945,0.5517241379310345,0.7931034482758621,0.9885057471264368,0.7011494252873564,0.9655172413793104,1.0
0.045454545454545456,0.3068181818181818,0.5,0.5227272727272727,0.9204545454545454,0.9659090909090909,0.8409090909090909,1.0,1.0
0.14606741573033707,0.1797752808988764,0.5056179775280899,0.6292134831460674,0.9325842696629213,0.9438202247191011,0.8539325842696629,1.0,1.0
0.1,0.25555555555555554,0.4111111111111111,0.6888888888888889,0.7666666666666667,0.9888888888888889,0.8333333333333334,0.9888888888888889,1.0
0.15384615384615385,0.23076923076923078,0.4065934065934066,0.5604395604395604,0.8241758241758241,0.978021978021978,0.9010989010989011,0.989010989010989,1.0
0.08695652173913043,0.2826086956521739,0.3804347826086957,0.6086956521739131,0.9130434782608695,0.9891304347826086,0.8152173913043478,0.9891304347826086,1.0
0.15053763440860216,0.16129032258064516,0.40860215053763443,0.5161290322580645,0.9032258064516129,0.967741935483871,0.8064516129032258,0.989247311827957,1.0
